Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45
2005,49.13693,-12.32173,19.63444,-11.61592,-28.54261,-12.31255,-10.40779,-6.61634,3.10536,-2.12403,-0.06359,-4.08205,28.28129,2527.14026,1020.43354,952.96113,880.11219,416.17544,276.44,493.25933,483.13153,332.69534,163.19486,236.66308,90.05922,-306.1155,24.87617,-105.70462,-104.16506,42.52655,-36.87743,29.38333,22.49547,-16.51812,12.22306,62.2368,-256.57956,-84.19138,-205.58411,78.46915,-80.84947,-1.41518,-36.61763,11.66593,40.91102
2000,49.68768,14.0418,23.58914,-5.78664,-40.97364,-12.81014,-5.53017,-7.93281,15.96768,3.57379,0.2081,3.36323,44.99921,1663.86601,1180.76186,915.77225,811.21016,400.42161,579.5459,329.56811,243.03288,197.6597,136.61235,270.64555,30.49321,-154.94956,99.15512,22.22216,-41.06449,2.96056,32.87605,7.149,26.11903,-2.6557,21.84486,30.31999,-67.387200000000007,63.00753,-16.55466,-14.77472,54.50115,49.81354,-60.17302,-19.91915,-31.25552
2004,42.66708,-45.21413,16.64128,-13.03982,21.76209,-10.61667,-20.46757,-8.9681,-8.01647,-11.63895,0.37516,-0.93602,49.51857,3486.48654,1346.84033,1059.21731,1008.52502,484.5824,442.78418,533.26945,359.88422,363.94315,194.98901,215.91978,115.0633,-555.07073,134.15461,-174.77431,-189.78308,17.43017,-47.113,105.03711,-4.96623,-28.94765,6.49888,-13.1624,-618.40608,-164.79946,-131.472,9.41745,12.54858,-32.20051,-23.65479,-4.52581,19.25124
2009,46.38352,37.99895,-44.98722,12.26424,-0.51464,-30.7366,13.10371,0.50357,-4.8671,10.41368,8.40324,-3.70792,24.82158,4527.72655,2733.02104,2682.6407,886.11332,993.61918,324.73898,305.56205,171.52423,292.53363,365.62903,109.043,59.28515,627.93302,-172.41074,-276.32457,207.464,147.52838,-27.09385,14.95275,-62.92118,86.24613,-20.76021,16.81051,-304.07962,819.52412,153.80533,-120.73526,-24.5829,-5.9623100000000004,57.73412,-8.02391,20.06356
2006,34.15435,-97.3683,-19.96822,-23.27305,11.12944,-0.00524,-15.67947,7.15082,-19.51825,-7.82089,0.30064,14.01361,39.0705,4182.9168,2196.88932,2773.44022,923.61062,921.0776,536.47114,673.8889,688.9219,375.97461,517.16215,229.5872,80.69206,-1173.32521,272.54695,-595.23146,-180.59912,45.38739,-25.9643,-68.54138,-52.2427,66.38144,-17.24713,94.03975,-1092.62325,-517.64402,-257.23322,43.95832,-97.04533,-69.14516,-27.66585,-72.86558,-65.66222
1973,39.95303,11.55445,65.33632,11.17718,49.9859,-7.24143,-35.91249,-8.6848,7.83393,-1.50794,10.52793,24.14167,32.157,845.12601,441.12794,275.36695,302.33336,328.33269,259.71501,184.59665,203.18856,179.52003,100.45233,198.73696,-16.45187,152.54997,-4.77967,1.45186,54.84521,-1.68436,17.59841,-7.17462,5.9117,2.57633,18.59142,22.22027,-3.86556,40.84832,-71.40514,-46.66243,3.57675,-23.03478,-32.84447,16.97189,-5.17666
2002,50.92462,73.8216,17.84248,-2.29573,-51.41943,-21.96888,3.07302,-2.57225,17.89328,7.30868,2.10563,5.58145,5.91293,669.46645,417.18762,511.18291,476.16427,359.33172,275.01049,239.46568,175.15243,180.94061,112.96235,231.87246,6.04164,-105.59052,-66.72741,24.92962,-27.9176,44.08778,-16.46273,5.4335,-0.98112,-6.45125,8.40832,15.98226,-39.36952,50.83083,-164.33966,-41.84735,4.85886,-32.26526,-54.49445,-1.99949,-21.60772
2001,51.29266,57.71234,-11.37701,3.79787,-7.69172,-18.82745,-4.60877,-3.57022,8.05065,6.58469,5.35367,3.16738,18.1279,1521.77762,1156.65246,1059.36917,801.16927,926.44669,417.32739,359.88263,257.85907,260.25705,278.59795,130.90223,-1.57229,-282.45957,-319.71711,-117.669,76.03704,90.27843,16.54167,-13.99634,29.52005,-3.41738,-23.3781,66.01557,-230.99527,-91.57064,-202.31857,-8.74869,109.92982,28.99605,-15.93173,21.82123,36.29006
2008,42.06669,-85.39274,-36.37583,-16.49558,-28.02153,-15.5104,-11.98347,-18.06295,1.36921,-6.84083,7.97837,10.49631,16.59874,1664.40239,984.9797,790.45309,892.40665,671.91139,270.05748,415.98759,278.85421,394.67834,211.54452,255.31156,26.60175,-456.57003,-39.61563,-122.32909,-75.1261,101.3625,-11.23187,3.85335,28.19752,100.49058,70.36997,0.92237,-262.1512,-177.8635,-133.10062,97.89298,-65.37296,48.84158,-67.87178,16.56476,87.95901
2001,50.12122,14.42351,44.77025,-0.0278,-27.1038,-25.21116,8.43808,1.16986,5.01784,0.6377,-1.12564,-2.8549,26.3627,1354.09161,554.52939,711.12493,1066.92464,311.55076,223.89689,299.71613,175.07412,153.5776,108.00782,145.15993,50.88691,137.19126,-51.14379,77.41815,-217.64135,20.77376,-19.83761,36.83598,-29.65244,3.77846,22.27982,55.42477,52.94046,197.47195,-176.54884,24.63327,-42.87124,-4.33323,-85.87274,-14.65529,3.46219
2005,47.933,-2.26358,5.94054,3.2333,-15.62303,-17.07336,5.54964,-1.48443,-7.99067,-6.50911,5.61351,6.61792,27.54428,860.26208,1639.36191,696.72821,493.59255,648.77704,338.82994,253.92294,348.69277,253.75052,184.70219,202.09194,-11.78019,-77.01406,29.59591,20.72552,-54.54832,55.75813,26.26023,-38.50869,29.92976,7.91336,-37.15036,78.31538,-67.22675,-71.5015,-94.54656,-30.17071,-14.97724,-55.8464,-42.70098,15.23148,-16.42689
2005,49.66901,-2.40936,38.1671,1.29533,-23.85306,-14.70862,-8.17269,-2.927,5.84207,2.8036,-0.2741,-1.64107,25.47333,1743.36434,2326.1351,1231.79989,1037.66918,585.89742,583.71881,463.70297,404.26076,261.99636,176.25807,306.97137,93.8432,-261.08697,201.87829,213.84126,148.07908,-126.76982,-46.39454,42.64206,-1.19101,-39.38558,33.09006,-50.35098,-142.00368,714.31914,-209.34131,-115.12276,-49.993,108.84161,-62.54683,32.41356,10.78939
2005,50.614,-1.60695,18.15975,-3.54137,-22.29529,-21.76888,5.22614,-6.4991,10.2285,0.37608,1.93528,2.38261,17.40449,2110.77183,970.48942,863.95452,573.6842,457.99056,298.64621,439.04217,356.764,252.84605,153.56311,240.20731,120.89833,257.76074,-226.99427,-177.67197,-45.79283,63.28808,-7.84697,10.78062,16.63472,-14.65849,2.78646,59.36568,-246.4748,63.36331,-197.40373,-8.69903,-61.55958,57.75938,-99.365,49.12408,41.78334
1998,46.10305,23.8988,-15.17574,12.50084,4.96175,-2.93768,-11.78156,-1.50103,-3.7442,-3.81115,1.92548,9.09351,38.89697,3190.55726,1656.17918,3512.24749,837.67051,1481.28178,711.89494,782.47818,398.73714,499.93598,417.93862,364.20645,-40.06407,-672.022,-574.01348,-209.26733,172.11203,93.35481,-60.85922,98.56484,-67.29299,35.50618,-17.63113,105.54771,253.4777,245.67481,-197.35738,-71.17707,217.79201,-84.28835,-137.7715,8.805,14.40016
1975,45.34866,-40.55679,33.92115,-6.78746,-1.26546,-5.26011,7.33231,5.09886,0.73208,0.36864,-3.93146,9.97577,51.44943,1579.22694,1745.85236,1390.6791,648.47848,718.59405,632.96636,415.67477,193.42607,267.83728,253.71105,332.89868,72.62696,-235.77264,-74.22853,6.4289,58.52985,-15.07445,33.1717,23.93426,-14.78152,8.54279,-29.1948,101.74174,71.65038,104.6006,-424.23392,195.19642,-50.96789,40.06065,-39.52867,46.05404,4.2496
2007,43.56755,15.29618,3.49116,17.83056,2.16585,2.15773,-3.10876,30.78015,4.82516,11.56718,0.30971,-5.44223,34.90179,1807.25607,4375.67708,1408.81059,747.99343,1175.31893,708.83084,660.76214,272.77261,360.61799,332.01243,141.67285,-17.96839,-330.31318,80.30261,79.37544,31.15262,-157.77163,-147.05082,60.59208,-58.76191,12.14367,5.91106,-22.51618,-0.63199,453.42556,-286.00752,-40.46971,161.14473,-63.43355,-58.05765,-19.83079,-15.02252
2004,32.27013,-25.114,-65.78318,-44.00264,20.50073,-22.99685,-3.67454,-4.7298,5.38188,-7.19472,-5.37544,5.99471,54.55505,5883.6751,1362.10113,1095.4231,1170.11367,474.66165,564.61643,753.47304,800.72943,585.24849,190.23547,244.51094,-48.93301,-255.78759,61.63547,-72.59906,-24.7947,-84.47286,88.02709,-75.63218,-78.38241,61.27748,-0.20693,2.87305,-145.7064,-120.33828,-9.7286,161.033,-181.15118,-163.76401,94.06209,-77.18321,-31.37899
2001,30.88504,-66.95493,-19.80456,-9.41228,-6.44922,-21.42719,0.94558,4.64811,-5.77426,3.8515,0.82628,0.58431,94.90921,4603.25588,5345.94092,2510.39418,1719.6012700000001,729.07812,808.16309,443.7803,1062.60509,241.66756,211.13301,382.07875,362.38203,1083.23657,1830.43532,-249.97002,-95.1316,-30.41877,73.63282,-166.40153,224.07414,-30.22849,44.40135,414.48993,753.32038,-393.15512,364.80566,-213.58456,-62.87064,-183.3551,-73.65601,-98.26178,-52.30553
2001,35.21559,-22.84025,-38.02801,-23.18246,-35.95505,-0.31362,-29.64333,-10.92949,6.69769,2.29639,0.65168,11.00195,22.33834,2231.31938,1014.6549,1983.49963,1119.52569,669.10708,616.20519,599.74115,582.9255,370.78102,382.94971,308.846,-4.3509,-254.04211,-25.85022,-110.20353,32.38921,104.39476,19.28691,-61.78332,14.26289,35.99263,3.09044,34.18627,-353.68921,317.72006,-318.11665,-67.48926,-59.20375,-2.6851,-109.64339,80.90035,14.34987
1975,43.47566,58.72215,49.51642,3.67692,-11.60956,-17.88028,0.04973,-1.67222,6.44435,-1.0911,-2.19981,-10.72594,28.72042,1301.11001,1240.40703,691.60708,509.17325,330.40018,274.70306,249.31981,217.85021,150.69726,139.55865,150.92834,-81.98309,157.06109,-9.11523,46.81942,-47.41765,-27.13761,1.32686,19.21938,19.57392,-43.08303,22.35942,-14.40546,201.54892,-56.08971,-186.03035,64.7124,32.44288,-11.67181,-23.42143,-26.49307,-10.21057
2009,44.94865,-24.98344,48.68896,12.21923,-58.2205,-18.19807,27.98294,4.62226,18.22417,0.89661,3.50233,1.34104,10.89678,699.90292,1623.10193,390.56386,616.01818,316.46361,187.87449,182.80394,141.58955,123.2646,102.29477,98.38034,6.55632,-373.13829,108.51414,38.2316,171.8686,3.88729,52.15053,-43.22074,-12.61317,-20.35608,-4.85347,63.87643,7.59659,-495.61293,-22.43864,-13.52222,20.29147,-37.49503,27.12745,19.91648,-0.15164
2003,34.41276,-92.33555,-55.9233,-19.40835,-11.32778,-2.51117,-0.94527,-9.4893,16.95874,-2.67228,-0.21215,-3.90355,25.14053,1597.26675,946.21095,1175.57903,691.61756,948.30868,352.93972,293.01074,254.70041,248.81753,233.66902,199.99775,-8.88769,198.42651,156.88998,109.26928,75.34149,253.23399,57.45739,3.58437,-10.32217,44.38789,7.99358,73.61569,312.96431,420.35327,-317.68933,-52.75072,21.26944,9.12281,-55.16132,12.48792,31.72535
2009,48.37231,-16.97512,30.20246,2.93831,-6.24151,-13.50612,-5.92333,-6.88201,4.36704,-0.38062,3.35277,-0.05098,31.6474,1732.51574,2191.38372,708.08006,868.88975,524.6722,647.58675,282.52508,339.7602,225.48842,199.22766,275.37254,8.43129,158.15899,-22.20432,90.23387,-27.95224,19.3499,5.90846,-4.79798,49.44625,-27.08782,13.58548,24.27725,96.55325,187.64129,-141.77507,-167.6166,27.77454,-77.25167,-48.12528,16.49959,9.60288
1992,31.49353,-59.62472,-3.82659,15.62167,-3.19655,16.02984,-5.45,5.74859,-12.04011,6.61942,-1.6299,7.54644,44.60198,1976.42167,2242.52498,4749.00184,896.45342,1863.85771,713.05061,789.28871,570.52359,534.24673,851.37025,466.03338,41.56488,261.48775,-1540.91543,-374.90675,-80.05674,89.49719,-159.84637,112.65655,-10.56454,122.31527,115.14991,151.29588,6.97202,356.45966,-337.91722,387.79139,-68.04715,98.05059,-230.26811,10.88252,-21.11822
2006,41.31966,-86.79318,16.0674,-15.01216,15.97838,-6.58639,-33.95239,-7.40497,12.21642,-6.05273,2.10713,13.21797,30.99118,3609.55994,2136.25779,1618.87684,1102.67484,578.1481,931.46061,532.5475,703.00478,328.44746,341.12598,427.11213,182.39091,855.29032,138.5622,-40.20585,-75.18978,-128.68781,112.14718,95.17441,126.47768,-21.52406,-8.98471,185.88344,-12.62145,108.98472,-182.49054,367.09609,36.5708,67.37694,-26.54926,-32.06076,69.34505
2003,52.10329,24.33173,8.40774,-15.43795,5.30249,-22.37427,-17.74168,-2.08887,3.98311,1.88264,-3.45612,3.96816,61.37044,1510.64711,866.21359,1050.44887,386.90481,474.83426,216.05937,388.86964,230.1056,171.45312,103.97046,195.98194,60.61496,-435.95653,230.47323,-295.83474,-45.38763,77.49499,-78.20078,-47.31358,-39.14823,-30.19563,23.58932,10.71579,-421.33524,-314.06242,-127.64578,-21.02577,-95.8145,4.55503,-56.35746,19.54856,0.78785
1991,46.52744,-1.14314,54.44658,26.57258,-39.18364,-2.98545,-15.68073,-11.21885,-3.44085,0.7399,10.19795,-2.70491,13.12477,1164.16972,1741.91731,750.32684,839.92147,687.18614,355.91809,249.02029,467.06983,254.45855,231.05254,288.25039,63.91423,-2.77697,-248.02736,43.94206,-15.39839,155.08869,-22.39553,61.74467,107.10908,-17.5807,-0.92587,54.11622,18.81661,-789.60101,-113.14541,-45.26461,-21.76418,-6.15611,-28.46817,-25.14914,-9.72114
2005,35.33155,-91.46003,63.33773,6.75733,-66.26873,-8.23103,-4.47421,-0.95194,-18.9053,-3.36309,8.05885,-9.26082,62.1379,3905.84085,1729.34522,3114.82818,1463.01268,1060.09162,482.06742,211.23461,342.39512,259.44338,350.48232,191.94704,-266.55824,547.56134,690.33177,30.19088,-477.94069,-48.83615,93.59901,25.84867,31.22346,137.47206,-52.84274,194.81572,816.09113,-141.70789,-162.69076,494.84478,72.90803,42.972,-1.59385,-39.99975,-17.5879
2004,35.46807,-83.61863,-33.03217,-16.37801,-26.72756,5.38015,-11.2066,-3.01362,-1.78454,-3.66395,-0.34608,3.82302,14.79137,1330.35816,1782.02076,1567.96984,622.39395,861.96239,796.9681,606.58002,558.68454,369.2556,342.6291,446.37294,14.55979,-613.72793,-834.99779,17.25588,199.03453,267.44848,144.90428,131.36416,29.72907,-59.74066,56.0435,57.23529,73.0745,150.70079,-487.97579,491.27964,32.04135,189.08569,-70.56341,59.22215,29.98098
2008,49.61415,13.82146,16.1449,-13.60721,-16.55407,-15.76114,-20.33724,-3.67818,13.21652,0.34892,1.1254,7.38584,8.98036,2309.88861,925.38918,546.39536,1002.73247,470.47834,386.64332,389.36625,250.71397,229.60963,142.75406,164.7166,91.81937,-443.97207,63.02614,-8.92109,-270.18818,-52.92342,2.68235,-2.20692,9.2551,-21.75857,0.20968,11.08618,-195.13088,-160.19809,-127.65972,270.57247,-45.02457,-21.85118,-32.13625,12.46274,42.74254
2004,48.03594,16.80868,94.11344,29.28679,-24.10513,11.19869,-7.62184,-3.09994,-1.56372,-0.4539,1.29567,15.44829,18.61248,1342.49759,690.87992,1376.20241,761.72629,682.85644,311.98921,245.86916,233.18657,201.46913,211.73748,222.79323,58.35963,-4.65476,-142.37721,-340.48617,-198.98611,53.84302,-15.30945,33.93184,5.66872,27.48173,2.27871,23.8555,-237.36844,-12.93046,75.85306,31.56625,-87.73098,35.14634,-39.70606,-3.80454,0.58337
2008,51.78361,11.60321,6.96548,-2.37303,-1.14414,-15.32349,11.44724,-3.61204,-8.3566,-4.77168,-1.41164,-2.31246,19.6514,1394.96958,1349.19462,1718.48039,612.36771,875.10708,502.34984,498.56011,296.93401,271.285,275.28455,205.43744,22.98074,-163.43748,-275.66479,-204.62954,-76.98777,53.36533,-101.18761,84.31394,-44.3988,-14.62948,-32.10298,96.75502,-446.47638,93.03166,-236.63679,47.03429,24.03306,80.76353,-95.81422,41.37331,11.13701
2008,40.88188,-59.96975,-7.15949,-8.94138,0.87865,-19.70009,6.54337,-3.63165,7.12678,2.53006,1.87399,9.09066,34.22029,2544.74234,1369.07701,866.87258,477.58436,440.0016,372.14151,315.79434,173.70868,203.27398,151.52553,169.47408,169.44768,457.6108,195.87107,39.76833,-22.366,13.4856,-21.74368,20.13308,-14.77852,-5.34109,7.20924,142.80972,179.11564,-71.81337,29.6603,-36.40647,11.84153,-2.08088,-13.41469,-3.08878,-0.58265
2010,40.34034,-5.42172,-60.15362,-7.79085,11.32638,-26.66729,-3.4986,-15.10563,-16.06329,-5.51676,8.65529,4.8029,17.53302,1488.23673,1882.3342,1463.17369,679.05126,482.76664,590.40626,448.94822,322.62231,313.22082,147.78068,293.61873,31.65029,-491.55239,-51.90965,-165.07488,-13.4845,60.76129,21.63216,13.40714,27.14123,-67.22246,-33.9055,4.721,-57.37501,-384.96681,14.60966,-63.47353,-67.98261,-85.85734,-31.93517,-0.67658,51.96929
2001,40.83405,-50.48845,59.29001,13.9621,-19.079,-12.59531,-10.46396,-10.86982,-6.11087,-8.96579,4.46108,-10.03869,86.45468,1665.75869,1191.74302,718.91418,796.24506,493.0623,393.29872,288.97363,331.15857,203.06343,133.8322,465.1367,-47.65309,-172.07566,-108.80388,4.2266,-139.05018,66.91816,58.92971,36.55244,28.23482,-20.66838,64.5634,178.12874,8.40054,-158.29991,77.32953,-147.78035,23.63023,11.96805,6.39275,-27.24299,-10.31673
1995,45.71926,16.414180000000002,24.16337,17.8395,-17.48793,4.48282,-6.67243,-7.14964,6.69776,0.25068,2.60776,3.78497,28.39672,1482.15578,1595.58663,1610.82445,781.93096,1228.65333,530.9424,382.22749,329.75053,422.208,349.85845,245.07628,38.51461,68.07613,-731.25253,-56.18959,67.72493,170.87651,65.97906,61.47051,1.85341,-40.42131,-2.52344,96.18335,-60.61676,110.93829,-240.71332,54.91355,134.78329,-7.50707,-89.88285,44.26968,18.30813
1948,31.1763,-80.51452,41.42383,6.70581,15.37816,19.06402,-36.57927,5.96997,12.7151,14.23456,3.01077,20.77696,39.74563,3711.05951,4951.30527,3053.21734,1731.11437,1875.8647,711.17425,738.79301,560.21213,492.18194,559.60138,292.378,52.01807,1211.64941,141.15482,-348.94988,-516.34478,152.7194,-98.08526,5.06333,-27.99124,86.10216,-65.02621,322.95037,1.52991,-1031.86865,-504.27018,355.18623,-40.22734,-87.15546,-131.5725,40.69241,13.60478
1999,50.37383,53.31259,-8.96423,-19.55283,-37.22207,-26.6926,-17.35281,-2.55381,31.00378,14.57492,2.68664,14.74349,7.69698,288.13224,247.16128,406.66711,333.00536,193.61304,343.16376,122.88793,161.7467,66.47577,95.86721,109.41276,-4.64236,-104.33583,28.88696,112.03722,-13.02571,-17.27618,21.90597,-15.51908,26.51882,2.17415,-1.06573,8.1251,-120.92414,34.08144,-43.35422,85.9438,11.42434,-111.37334,-21.51982,16.1831,-20.73289
1999,47.06548,60.13648,11.32331,-4.3454,-25.03098,-9.00659,-6.20791,8.78528,-3.47335,8.23655,-4.17448,8.16322,15.23794,1177.65419,1698.93495,1056.18291,919.40384,807.82358,695.47519,608.90492,467.47486,366.13759,277.49927,259.74085,-2.27439,-548.18251,165.45373,47.08257,61.1083,-54.77843,-73.07947,63.05117,55.32607,-92.05748,3.46002,49.33578,-45.29931,565.41457,-122.06122,90.40245,-11.75679,83.36934,-45.33378,11.49439,10.03854
2002,42.59585,-57.89296,29.45901,-2.20797,9.95783,-22.78967,-4.58766,-4.2267,13.76315,2.36126,0.86708,-11.6036,23.46121,3869.53963,1325.40912,619.40882,1225.12375,330.60933,296.37252,390.19434,284.79603,302.8571,128.59326,323.40249,85.33279,-663.4474,139.96646,-159.86065,67.78099,-41.04206,56.75726,23.64398,20.30194,24.39727,-10.64735,80.47509,-338.98365,-30.14079,-28.40412,13.24167,-41.57221,-9.09008,-0.1634,28.45164,37.19603
2008,28.48303,-72.52762,-103.54314,22.3833,-10.66931,-15.28889,-6.1051,15.23778,-7.88967,15.37001,10.87149,7.51581,49.65036,6445.87322,4800.66806,3348.49638,1641.19755,1901.53145,859.30271,2344.43408,704.86751,800.55193,470.9987,342.5613,-111.42811,-1352.81162,-126.34855,-75.96942,301.96381,426.2637,-298.5546,436.57512,7.75594,159.24252,-14.14567,257.13073,376.17644,82.28367,-63.93089,151.71953,-640.35547999999994,7.45134,86.18882,98.19286,-9.6228
1996,47.39004,52.58443,61.11696,16.34058,-5.65966,-13.75535,-10.4043,2.38998,13.71921,4.47872,2.78023,-5.61735,29.7074,1702.42422,3281.58563,1153.5136,1391.85688,714.41077,708.63981,349.72125,345.34554,244.13591,264.12613,218.70137,-105.9007,1019.73075,138.38963,357.50013,293.19382,37.36854,63.75958,0.03216,69.43794,6.74455,10.31548,-13.67879,243.13947,1006.33109,-238.61929,-484.57175,25.95411,-68.84195,-69.84852,-15.81579,-38.00705
2003,40.92714,0.43119,-0.22322,-1.4891,1.51189,-4.73845,0.92183,10.71268,-12.62832,-0.48501,-2.44112,-6.90494,47.881100000000004,2827.89405,4276.04813,1985.30446,1392.80851,1413.98323,877.53896,823.32524,568.86958,405.86123,516.99225,443.9849,15.77941,-706.15231000000006,407.23102,68.82335,171.64973,206.236,47.53122,64.94081,12.8537,-48.11892,-16.19103,75.68977,86.03171,-375.44258,-569.97023,52.24613,217.42104,-29.38018,-69.87799,11.8444,30.35221
2009,30.2353,-89.91902,67.93733,-4.38006,-19.04994,-22.98262,1.72956,1.69137,2.25412,-0.04888,-0.32551,2.82353,42.07173,1729.20603,2011.72463,780.99278,932.78165,156.8258,775.90195,156.39975,793.63377,62.64044,121.77712,367.38989,40.94529,783.86277,623.40218,-257.04611,-233.16975,-198.9749,145.08418,-78.73954,133.35155,0.04281,48.75785,211.8339,217.58424,-549.6966,151.46366,160.74252,-66.30615,-35.90254,-28.43717,12.34899,21.59388
2007,51.41906,21.9523,59.4723,8.73071,-28.49123,-21.82076,12.66912,-0.37832,2.84173,6.07275,0.83383,-4.22329,7.65788,1167.24645,276.1509,288.70466,585.99842,271.72112,130.01799,284.18459,123.1655,153.53089,102.0425,131.39787,58.41971,-25.45544,-32.89881,-143.24215,-78.80147,52.53548,-54.99421,-33.27487,-31.69144,27.96404,10.11176,-4.39893,-171.10752,-14.28931,-25.17232,-66.21408,-78.77733,10.84576,20.16214,-4.28238,-11.29146
