age,age_cat,charge,race,sex,priors_count,score,outcome
56,Greater than 45,Felony,Caucasian,Male,0,1,0
24,Less than 25,Felony,Other,Male,0,4,0
57,Greater than 45,Felony,Hispanic,Male,1,1,0
66,Greater than 45,Felony,African-American,Male,3,1,0
37,25 - 45,Misdemeanor,African-American,Male,2,8,1
45,Greater than 45,Felony,Caucasian,Male,2,4,0
23,Less than 25,Felony,African-American,Male,0,4,1
34,25 - 45,Misdemeanor,African-American,Male,2,1,0
23,Less than 25,Misdemeanor,African-American,Female,1,4,0
50,Greater than 45,Felony,Caucasian,Male,1,1,0
37,25 - 45,Misdemeanor,Caucasian,Female,0,1,0
44,25 - 45,Misdemeanor,Caucasian,Male,4,4,0
27,25 - 45,Misdemeanor,African-American,Male,0,3,0
28,25 - 45,Felony,African-American,Female,0,6,0
38,25 - 45,Felony,African-American,Male,2,1,0
28,25 - 45,Felony,African-American,Female,1,7,0
38,25 - 45,Felony,African-American,Male,15,3,0
28,25 - 45,Misdemeanor,African-American,Male,2,4,0
51,Greater than 45,Misdemeanor,Caucasian,Female,0,1,1
51,Greater than 45,Misdemeanor,Caucasian,Male,0,2,0
48,Greater than 45,Felony,African-American,Male,0,1,0
30,25 - 45,Felony,African-American,Female,2,4,0
41,25 - 45,Misdemeanor,African-American,Female,5,3,0
37,25 - 45,Misdemeanor,African-American,Male,0,1,0
54,Greater than 45,Felony,African-American,Male,11,9,0
23,Less than 25,Felony,African-American,Male,2,5,0
41,25 - 45,Misdemeanor,African-American,Male,0,1,0
52,Greater than 45,Felony,Caucasian,Male,0,1,0
52,Greater than 45,Felony,African-American,Male,0,3,0
28,25 - 45,Felony,Caucasian,Male,1,2,0
30,25 - 45,Misdemeanor,African-American,Male,11,4,1
28,25 - 45,Felony,Caucasian,Male,1,3,0
22,Less than 25,Felony,African-American,Male,0,6,0
30,25 - 45,Felony,African-American,Male,4,2,0
25,25 - 45,Felony,Hispanic,Male,4,4,0
32,25 - 45,Felony,African-American,Male,14,8,0
53,Greater than 45,Misdemeanor,Caucasian,Male,1,1,0
25,25 - 45,Felony,African-American,Male,0,4,0
37,25 - 45,Misdemeanor,Other,Female,0,1,0
40,25 - 45,Felony,Other,Female,3,1,0
31,25 - 45,Misdemeanor,Hispanic,Female,0,2,0
24,Less than 25,Misdemeanor,Hispanic,Male,0,7,0
29,25 - 45,Misdemeanor,African-American,Male,1,3,0
20,Less than 25,Felony,African-American,Male,1,7,1
39,25 - 45,Felony,Other,Male,0,1,0
27,25 - 45,Felony,African-American,Male,4,4,0
37,25 - 45,Felony,African-American,Female,2,1,0
20,Less than 25,Felony,African-American,Male,0,6,0
22,Less than 25,Felony,Hispanic,Male,0,6,0
52,Greater than 45,Felony,African-American,Female,0,1,0
48,Greater than 45,Felony,African-American,Female,0,3,0
25,25 - 45,Felony,Caucasian,Male,0,4,0
27,25 - 45,Felony,Caucasian,Male,0,7,1
22,Less than 25,Felony,Caucasian,Female,1,4,0
41,25 - 45,Misdemeanor,African-American,Female,2,1,0
25,25 - 45,Felony,Other,Female,0,3,0
43,25 - 45,Felony,African-American,Male,0,1,0
37,25 - 45,Felony,Caucasian,Male,3,1,0
70,Greater than 45,Misdemeanor,Caucasian,Male,1,1,0
46,Greater than 45,Felony,Caucasian,Male,3,2,0
26,25 - 45,Misdemeanor,African-American,Male,1,6,1
34,25 - 45,Misdemeanor,Caucasian,Male,5,4,0
34,25 - 45,Misdemeanor,African-American,Male,5,4,0
24,Less than 25,Felony,Other,Male,0,5,0
58,Greater than 45,Felony,Caucasian,Male,2,1,0
21,Less than 25,Misdemeanor,African-American,Female,0,7,0
62,Greater than 45,Felony,Caucasian,Male,0,1,0
37,25 - 45,Felony,Caucasian,Male,5,1,0
32,25 - 45,Felony,African-American,Female,5,1,0
23,Less than 25,Felony,Hispanic,Male,0,5,0
27,25 - 45,Misdemeanor,African-American,Male,0,2,0
42,25 - 45,Felony,Caucasian,Female,0,1,0
24,Less than 25,Felony,Other,Male,9,10,1
27,25 - 45,Felony,African-American,Male,0,3,0
51,Greater than 45,Misdemeanor,Caucasian,Female,0,1,0
56,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
29,25 - 45,Felony,African-American,Male,7,6,0
27,25 - 45,Felony,Caucasian,Male,8,3,0
24,Less than 25,Felony,African-American,Male,2,9,1
28,25 - 45,Misdemeanor,Caucasian,Male,2,4,1
21,Less than 25,Felony,Hispanic,Male,3,6,0
36,25 - 45,Felony,African-American,Female,0,5,0
23,Less than 25,Misdemeanor,Hispanic,Female,1,4,0
28,25 - 45,Felony,Caucasian,Male,1,3,0
36,25 - 45,Misdemeanor,Caucasian,Male,0,3,0
24,Less than 25,Felony,African-American,Male,0,4,0
29,25 - 45,Felony,African-American,Male,0,2,0
30,25 - 45,Misdemeanor,Caucasian,Female,0,2,0
51,Greater than 45,Misdemeanor,Hispanic,Male,1,1,0
32,25 - 45,Felony,African-American,Male,12,7,1
23,Less than 25,Felony,African-American,Male,1,5,0
47,Greater than 45,Felony,African-American,Male,3,2,0
37,25 - 45,Felony,Caucasian,Male,0,1,0
27,25 - 45,Misdemeanor,Hispanic,Male,0,6,0
39,25 - 45,Misdemeanor,Other,Male,0,1,0
21,Less than 25,Felony,Caucasian,Female,0,8,0
69,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
21,Less than 25,Felony,Caucasian,Male,2,6,0
22,Less than 25,Felony,Caucasian,Male,0,5,0
49,Greater than 45,Felony,African-American,Male,3,4,0
29,25 - 45,Misdemeanor,African-American,Male,2,3,0
60,Greater than 45,Misdemeanor,Caucasian,Female,0,1,0
20,Less than 25,Felony,Other,Female,1,7,0
36,25 - 45,Felony,Hispanic,Male,1,2,0
30,25 - 45,Felony,Caucasian,Male,0,3,0
21,Less than 25,Felony,African-American,Male,1,6,0
34,25 - 45,Misdemeanor,Caucasian,Male,1,1,0
53,Greater than 45,Misdemeanor,Caucasian,Female,1,1,0
24,Less than 25,Felony,African-American,Female,0,4,0
42,25 - 45,Felony,African-American,Male,1,1,0
28,25 - 45,Misdemeanor,African-American,Male,1,3,0
22,Less than 25,Felony,African-American,Male,4,9,1
21,Less than 25,Misdemeanor,Caucasian,Male,3,8,0
35,25 - 45,Felony,African-American,Male,2,5,0
53,Greater than 45,Felony,African-American,Male,2,1,0
29,25 - 45,Felony,African-American,Male,7,3,0
48,Greater than 45,Felony,Caucasian,Male,23,5,1
52,Greater than 45,Misdemeanor,Caucasian,Female,0,1,0
28,25 - 45,Felony,African-American,Male,5,6,0
33,25 - 45,Misdemeanor,Caucasian,Male,3,1,0
28,25 - 45,Felony,Hispanic,Female,0,2,0
29,25 - 45,Felony,African-American,Male,2,5,0
25,25 - 45,Felony,Caucasian,Male,0,3,0
56,Greater than 45,Felony,African-American,Male,5,3,0
27,25 - 45,Felony,African-American,Male,9,8,1
32,25 - 45,Felony,African-American,Male,3,2,0
60,Greater than 45,Felony,Other,Male,4,1,0
23,Less than 25,Misdemeanor,Hispanic,Male,1,4,0
39,25 - 45,Misdemeanor,Caucasian,Female,0,2,0
56,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
22,Less than 25,Felony,African-American,Female,0,8,0
53,Greater than 45,Felony,African-American,Male,11,3,0
21,Less than 25,Misdemeanor,Hispanic,Male,0,6,0
22,Less than 25,Felony,Caucasian,Male,0,5,0
58,Greater than 45,Misdemeanor,Caucasian,Female,2,1,0
42,25 - 45,Felony,Other,Male,1,1,0
29,25 - 45,Misdemeanor,Caucasian,Male,0,4,1
22,Less than 25,Felony,African-American,Male,3,6,0
37,25 - 45,Felony,Caucasian,Male,0,3,0
27,25 - 45,Misdemeanor,Caucasian,Male,3,1,0
26,25 - 45,Felony,African-American,Male,3,3,0
33,25 - 45,Felony,Caucasian,Male,0,2,0
29,25 - 45,Felony,African-American,Male,2,3,0
36,25 - 45,Misdemeanor,Caucasian,Male,2,1,0
24,Less than 25,Felony,Caucasian,Female,0,5,0
34,25 - 45,Misdemeanor,Caucasian,Male,0,1,0
25,25 - 45,Felony,Hispanic,Male,2,3,1
24,Less than 25,Misdemeanor,African-American,Male,1,4,1
61,Greater than 45,Felony,Caucasian,Male,4,1,0
50,Greater than 45,Felony,African-American,Female,3,1,0
30,25 - 45,Misdemeanor,African-American,Male,1,2,0
38,25 - 45,Felony,African-American,Male,5,2,0
24,Less than 25,Misdemeanor,Caucasian,Male,0,2,0
20,Less than 25,Felony,Other,Male,0,6,1
27,25 - 45,Misdemeanor,African-American,Male,13,9,1
28,25 - 45,Felony,Caucasian,Male,1,3,1
26,25 - 45,Felony,African-American,Male,10,6,1
28,25 - 45,Felony,African-American,Male,5,10,0
63,Greater than 45,Felony,Caucasian,Male,2,1,0
42,25 - 45,Felony,African-American,Male,0,1,0
23,Less than 25,Felony,African-American,Male,6,6,0
54,Greater than 45,Misdemeanor,African-American,Male,2,1,0
35,25 - 45,Misdemeanor,African-American,Male,1,2,0
20,Less than 25,Felony,African-American,Male,1,10,1
51,Greater than 45,Felony,Caucasian,Male,0,1,0
24,Less than 25,Felony,Hispanic,Male,0,7,0
37,25 - 45,Felony,Caucasian,Male,3,1,0
47,Greater than 45,Felony,Caucasian,Male,3,1,0
56,Greater than 45,Felony,Caucasian,Male,0,1,0
35,25 - 45,Felony,Asian,Male,0,4,0
58,Greater than 45,Felony,Hispanic,Male,1,1,0
29,25 - 45,Misdemeanor,Hispanic,Male,2,2,0
24,Less than 25,Felony,Caucasian,Female,6,4,1
21,Less than 25,Misdemeanor,Caucasian,Male,2,9,1
26,25 - 45,Felony,African-American,Male,1,3,0
30,25 - 45,Misdemeanor,Caucasian,Female,0,2,0
29,25 - 45,Misdemeanor,Caucasian,Male,0,4,1
54,Greater than 45,Misdemeanor,African-American,Male,0,1,0
29,25 - 45,Felony,African-American,Male,4,4,1
59,Greater than 45,Misdemeanor,Caucasian,Female,0,1,0
38,25 - 45,Felony,African-American,Male,0,1,0
52,Greater than 45,Felony,Hispanic,Male,20,1,0
27,25 - 45,Felony,Caucasian,Male,2,4,0
51,Greater than 45,Misdemeanor,Caucasian,Male,1,1,0
35,25 - 45,Felony,Caucasian,Male,1,3,0
52,Greater than 45,Misdemeanor,Caucasian,Male,4,2,0
48,Greater than 45,Felony,Other,Male,12,4,0
26,25 - 45,Misdemeanor,African-American,Female,0,2,0
48,Greater than 45,Misdemeanor,Caucasian,Female,0,1,0
30,25 - 45,Misdemeanor,Hispanic,Male,7,5,0
28,25 - 45,Misdemeanor,Other,Male,2,2,0
33,25 - 45,Misdemeanor,African-American,Male,2,3,0
34,25 - 45,Felony,African-American,Female,6,2,0
25,25 - 45,Misdemeanor,Other,Male,0,2,0
24,Less than 25,Felony,Caucasian,Male,0,3,0
52,Greater than 45,Misdemeanor,African-American,Male,4,3,0
24,Less than 25,Felony,Caucasian,Male,0,3,0
23,Less than 25,Misdemeanor,Caucasian,Male,0,6,0
27,25 - 45,Felony,Caucasian,Male,6,3,0
31,25 - 45,Felony,African-American,Male,0,1,0
32,25 - 45,Felony,Caucasian,Male,1,2,1
37,25 - 45,Felony,Other,Male,1,1,0
25,25 - 45,Felony,Caucasian,Male,0,4,0
32,25 - 45,Felony,Hispanic,Male,20,7,0
35,25 - 45,Felony,African-American,Male,0,2,0
24,Less than 25,Misdemeanor,Caucasian,Male,9,8,1
47,Greater than 45,Misdemeanor,Caucasian,Male,1,1,0
44,25 - 45,Misdemeanor,African-American,Male,1,1,0
23,Less than 25,Felony,Caucasian,Male,2,3,0
42,25 - 45,Felony,African-American,Male,8,2,0
58,Greater than 45,Felony,African-American,Male,6,3,0
26,25 - 45,Felony,African-American,Male,3,4,0
48,Greater than 45,Felony,Other,Female,0,1,0
21,Less than 25,Felony,African-American,Male,3,6,1
63,Greater than 45,Misdemeanor,Caucasian,Male,1,1,0
22,Less than 25,Felony,African-American,Male,3,7,1
50,Greater than 45,Misdemeanor,African-American,Male,3,2,0
38,25 - 45,Felony,African-American,Male,0,1,0
41,25 - 45,Felony,Caucasian,Male,1,4,0
28,25 - 45,Felony,African-American,Male,16,9,1
30,25 - 45,Misdemeanor,African-American,Female,0,3,0
23,Less than 25,Felony,African-American,Male,1,7,0
40,25 - 45,Felony,Caucasian,Male,5,1,0
24,Less than 25,Felony,Hispanic,Male,8,4,0
44,25 - 45,Misdemeanor,Caucasian,Male,11,6,0
35,25 - 45,Felony,African-American,Female,6,1,1
42,25 - 45,Misdemeanor,Caucasian,Male,0,1,0
38,25 - 45,Felony,African-American,Male,15,5,0
26,25 - 45,Felony,Hispanic,Male,4,6,0
25,25 - 45,Misdemeanor,African-American,Female,0,3,0
64,Greater than 45,Felony,Hispanic,Male,1,1,0
46,Greater than 45,Misdemeanor,Caucasian,Female,0,1,0
30,25 - 45,Felony,African-American,Male,5,6,1
22,Less than 25,Misdemeanor,Caucasian,Female,0,4,0
23,Less than 25,Misdemeanor,Caucasian,Male,1,6,0
31,25 - 45,Misdemeanor,Hispanic,Male,0,2,0
31,25 - 45,Felony,Other,Male,1,2,0
25,25 - 45,Misdemeanor,African-American,Male,0,4,0
21,Less than 25,Felony,Caucasian,Female,0,5,0
27,25 - 45,Misdemeanor,African-American,Male,0,3,0
32,25 - 45,Felony,Hispanic,Male,1,1,0
24,Less than 25,Felony,Caucasian,Female,0,5,0
20,Less than 25,Felony,African-American,Male,1,6,0
27,25 - 45,Misdemeanor,African-American,Male,3,8,1
40,25 - 45,Felony,African-American,Male,0,1,0
22,Less than 25,Felony,African-American,Male,11,8,1
38,25 - 45,Felony,African-American,Female,1,1,0
30,25 - 45,Misdemeanor,African-American,Male,1,4,0
27,25 - 45,Felony,Caucasian,Male,6,4,1
59,Greater than 45,Misdemeanor,Caucasian,Female,0,1,0
37,25 - 45,Misdemeanor,Caucasian,Male,2,1,0
38,25 - 45,Felony,Caucasian,Male,0,1,0
25,25 - 45,Felony,African-American,Male,4,4,1
51,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
28,25 - 45,Felony,African-American,Male,10,2,0
23,Less than 25,Felony,Caucasian,Female,3,9,0
22,Less than 25,Misdemeanor,African-American,Female,0,6,0
31,25 - 45,Misdemeanor,African-American,Male,1,1,0
29,25 - 45,Misdemeanor,African-American,Male,0,1,0
31,25 - 45,Misdemeanor,Hispanic,Male,0,2,0
27,25 - 45,Misdemeanor,Caucasian,Male,5,7,0
25,25 - 45,Felony,Caucasian,Male,1,3,0
38,25 - 45,Felony,African-American,Male,0,1,0
22,Less than 25,Felony,Other,Male,0,7,0
58,Greater than 45,Felony,African-American,Female,4,1,1
21,Less than 25,Felony,African-American,Male,0,5,0
22,Less than 25,Felony,African-American,Female,0,6,0
30,25 - 45,Felony,African-American,Male,0,2,0
31,25 - 45,Felony,African-American,Female,10,2,0
45,Greater than 45,Felony,Caucasian,Female,1,4,0
27,25 - 45,Felony,African-American,Male,13,3,1
38,25 - 45,Felony,Caucasian,Male,1,1,1
47,Greater than 45,Felony,African-American,Male,20,5,0
22,Less than 25,Felony,African-American,Male,3,7,0
35,25 - 45,Misdemeanor,African-American,Male,1,3,1
65,Greater than 45,Misdemeanor,African-American,Male,2,1,1
35,25 - 45,Misdemeanor,African-American,Male,0,3,0
33,25 - 45,Felony,African-American,Female,0,2,0
53,Greater than 45,Misdemeanor,Caucasian,Male,1,1,0
52,Greater than 45,Felony,Hispanic,Male,0,1,0
21,Less than 25,Felony,African-American,Male,0,7,0
37,25 - 45,Felony,African-American,Male,11,2,0
30,25 - 45,Misdemeanor,Other,Male,4,8,1
54,Greater than 45,Felony,Other,Male,0,1,0
31,25 - 45,Misdemeanor,African-American,Female,0,1,0
59,Greater than 45,Felony,Caucasian,Female,2,1,0
27,25 - 45,Misdemeanor,African-American,Male,0,2,0
36,25 - 45,Misdemeanor,African-American,Male,0,2,1
22,Less than 25,Felony,African-American,Male,3,8,0
28,25 - 45,Misdemeanor,Caucasian,Female,0,2,0
23,Less than 25,Misdemeanor,African-American,Male,2,9,1
27,25 - 45,Felony,African-American,Male,3,3,0
21,Less than 25,Felony,Asian,Male,0,6,1
31,25 - 45,Felony,African-American,Male,5,4,0
36,25 - 45,Misdemeanor,African-American,Male,4,2,0
53,Greater than 45,Felony,Caucasian,Male,2,1,0
28,25 - 45,Misdemeanor,African-American,Male,2,2,0
24,Less than 25,Misdemeanor,African-American,Male,1,4,0
44,25 - 45,Felony,African-American,Male,1,1,0
46,Greater than 45,Felony,African-American,Male,0,1,0
37,25 - 45,Felony,African-American,Male,6,5,0
27,25 - 45,Felony,African-American,Male,10,7,1
40,25 - 45,Felony,Caucasian,Male,1,1,0
53,Greater than 45,Felony,Caucasian,Male,1,1,0
28,25 - 45,Felony,African-American,Male,0,3,0
23,Less than 25,Misdemeanor,Hispanic,Male,0,5,0
46,Greater than 45,Felony,Caucasian,Female,2,1,0
45,Greater than 45,Misdemeanor,African-American,Male,0,1,0
22,Less than 25,Felony,African-American,Male,1,7,0
26,25 - 45,Felony,Caucasian,Male,1,3,1
62,Greater than 45,Felony,Caucasian,Male,0,1,0
24,Less than 25,Felony,Hispanic,Male,1,5,0
21,Less than 25,Misdemeanor,Caucasian,Male,0,5,0
25,25 - 45,Felony,Caucasian,Male,0,3,1
68,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
21,Less than 25,Felony,Caucasian,Male,1,6,0
37,25 - 45,Felony,Hispanic,Female,1,1,0
22,Less than 25,Felony,African-American,Male,0,5,0
42,25 - 45,Felony,Caucasian,Male,1,1,0
48,Greater than 45,Felony,African-American,Male,2,1,0
23,Less than 25,Felony,African-American,Male,6,8,1
24,Less than 25,Felony,African-American,Male,0,7,0
29,25 - 45,Felony,African-American,Male,0,3,0
24,Less than 25,Felony,African-American,Male,0,4,0
50,Greater than 45,Felony,African-American,Male,11,6,0
23,Less than 25,Felony,African-American,Male,0,4,0
22,Less than 25,Misdemeanor,Caucasian,Female,0,6,0
36,25 - 45,Felony,Other,Male,0,1,0
53,Greater than 45,Felony,Caucasian,Female,0,1,0
25,25 - 45,Misdemeanor,African-American,Female,1,5,0
71,Greater than 45,Felony,African-American,Male,8,2,0
39,25 - 45,Misdemeanor,African-American,Male,10,3,0
37,25 - 45,Felony,African-American,Female,0,3,0
29,25 - 45,Felony,African-American,Female,3,4,0
23,Less than 25,Misdemeanor,Other,Female,0,10,0
23,Less than 25,Felony,African-American,Female,0,3,0
27,25 - 45,Misdemeanor,Native American,Male,3,4,0
53,Greater than 45,Felony,African-American,Female,0,1,0
23,Less than 25,Felony,African-American,Female,0,7,0
25,25 - 45,Felony,African-American,Male,6,5,0
23,Less than 25,Misdemeanor,Other,Male,2,6,0
27,25 - 45,Felony,African-American,Male,4,7,1
29,25 - 45,Misdemeanor,African-American,Male,1,3,0
28,25 - 45,Felony,Hispanic,Male,0,2,0
31,25 - 45,Misdemeanor,African-American,Male,0,1,0
25,25 - 45,Misdemeanor,Caucasian,Male,0,3,0
47,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
37,25 - 45,Felony,African-American,Male,4,1,0
35,25 - 45,Felony,African-American,Female,4,3,0
21,Less than 25,Felony,Caucasian,Male,2,8,1
57,Greater than 45,Felony,African-American,Male,11,5,0
48,Greater than 45,Felony,Caucasian,Male,0,4,0
36,25 - 45,Felony,Other,Male,0,1,0
37,25 - 45,Felony,African-American,Female,3,4,0
31,25 - 45,Misdemeanor,Caucasian,Male,0,2,0
31,25 - 45,Misdemeanor,Caucasian,Male,2,2,0
32,25 - 45,Felony,African-American,Male,22,10,1
23,Less than 25,Misdemeanor,Other,Female,0,5,0
63,Greater than 45,Misdemeanor,African-American,Male,0,1,0
30,25 - 45,Felony,Other,Male,0,2,0
20,Less than 25,Felony,Caucasian,Male,0,7,0
24,Less than 25,Misdemeanor,African-American,Female,1,4,1
36,25 - 45,Misdemeanor,African-American,Female,1,2,0
83,Greater than 45,Misdemeanor,Hispanic,Male,0,1,0
28,25 - 45,Felony,Caucasian,Male,2,6,0
33,25 - 45,Misdemeanor,African-American,Female,0,2,0
39,25 - 45,Felony,African-American,Male,0,2,0
29,25 - 45,Misdemeanor,Other,Male,3,5,0
35,25 - 45,Felony,African-American,Male,7,2,0
24,Less than 25,Felony,African-American,Male,0,3,0
26,25 - 45,Felony,Caucasian,Male,8,4,0
28,25 - 45,Felony,African-American,Male,14,8,1
32,25 - 45,Misdemeanor,African-American,Male,0,2,0
32,25 - 45,Misdemeanor,Caucasian,Female,1,1,1
29,25 - 45,Felony,African-American,Male,16,7,0
43,25 - 45,Misdemeanor,Caucasian,Male,0,1,0
47,Greater than 45,Felony,Caucasian,Male,2,5,0
23,Less than 25,Felony,African-American,Female,1,3,0
39,25 - 45,Misdemeanor,Caucasian,Male,2,2,0
33,25 - 45,Felony,Other,Male,0,2,0
21,Less than 25,Felony,Other,Male,0,7,1
43,25 - 45,Felony,African-American,Male,20,4,0
25,25 - 45,Felony,African-American,Male,3,9,1
48,Greater than 45,Felony,African-American,Male,25,9,1
22,Less than 25,Misdemeanor,African-American,Male,1,9,1
52,Greater than 45,Misdemeanor,African-American,Male,9,2,1
26,25 - 45,Felony,Caucasian,Male,5,3,1
34,25 - 45,Misdemeanor,African-American,Male,4,2,0
56,Greater than 45,Misdemeanor,Caucasian,Male,4,1,0
29,25 - 45,Misdemeanor,African-American,Male,2,5,0
37,25 - 45,Felony,African-American,Male,6,2,1
43,25 - 45,Felony,Other,Male,3,2,0
51,Greater than 45,Felony,Caucasian,Male,0,1,0
21,Less than 25,Felony,African-American,Male,1,7,0
26,25 - 45,Misdemeanor,African-American,Male,4,9,1
48,Greater than 45,Felony,Caucasian,Male,1,1,0
26,25 - 45,Felony,Caucasian,Male,0,3,0
46,Greater than 45,Felony,Caucasian,Male,0,1,0
24,Less than 25,Misdemeanor,African-American,Male,7,7,0
21,Less than 25,Misdemeanor,Caucasian,Female,0,7,0
36,25 - 45,Misdemeanor,African-American,Male,9,2,0
30,25 - 45,Felony,African-American,Male,5,3,1
22,Less than 25,Felony,Caucasian,Female,1,7,0
25,25 - 45,Felony,African-American,Male,0,8,1
24,Less than 25,Felony,African-American,Male,0,5,0
39,25 - 45,Felony,African-American,Male,13,6,1
46,Greater than 45,Felony,Other,Male,0,1,0
30,25 - 45,Felony,African-American,Female,4,3,0
40,25 - 45,Felony,Caucasian,Male,0,1,0
52,Greater than 45,Felony,African-American,Female,0,1,0
23,Less than 25,Felony,African-American,Male,3,10,0
26,25 - 45,Misdemeanor,African-American,Female,1,2,0
42,25 - 45,Felony,Caucasian,Male,3,2,0
28,25 - 45,Felony,African-American,Male,1,2,0
50,Greater than 45,Felony,Caucasian,Male,1,1,0
32,25 - 45,Felony,African-American,Male,1,2,0
51,Greater than 45,Felony,African-American,Male,3,1,0
32,25 - 45,Felony,African-American,Male,4,2,0
